Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Heavily indebted poor countries (HIPC),HPC,High-technology exports (current US$),,,,,,,,,,,,,,,763326207.0,653827034.0,703783947.0,586765063.0,616390741.0,433749847.0,,
Croatia,HRV,High-technology exports (current US$),,,,,,,,803499584.0,936948105.0,792991349.0,817139884.0,776016219.0,913351644.0,999788236.0,915591226.0,915710065.0,1336108847.0,923398748.0,1011939697.0,952468294.0,1084082923.0,1324455226.0
Haiti,HTI,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,High-technology exports (current US$),,,,,,,,19947348000.0,21676178000.0,18119039000.0,20245774000.0,22847603000.0,17575520051.0,17133941127.0,15681722657.0,14668165090.0,15878515224.0,16896040559.0,18039318661.0,18426664252.0,18155662306.0,19669362120.0
IBRD only,IBD,High-technology exports (current US$),,,,,,,,,,536425919922.0,696152627873.0,784911077110.0,853785586319.0,937903403806.0,950852642385.0,947174073271.0,898072219226.0,1037467361323.0,1154348974482.0,1142024730336.0,1191774063160.0,
IDA & IBRD total,IBT,High-technology exports (current US$),,,,,,,,,,,,,,939202815316.0,952219374102.0,949235596372.0,900054131891.0,1039494068441.0,1156388676124.0,1143716091916.0,,
IDA total,IDA,High-technology exports (current US$),,,,,,,,,,,,,,,,,1981912665.0,2026707118.0,2039701642.0,,,
IDA blend,IDB,High-technology exports (current US$),,,,,,,,,,,,,,,500511150.0,,562930726.0,599175091.0,565832698.0,655593980.0,,
Indonesia,IDN,High-technology exports (current US$),,,,,,,,,,,7056094816.0,7277410746.0,7229370907.0,6492910377.0,6585887873.0,5889536968.0,5415601725.0,5971475926.0,6382014753.0,6281266981.0,6408687624.0,7492072748.0
IDA only,IDX,High-technology exports (current US$),,,,,,,,,,,,,,,,,1418981939.0,,,,,
Isle of Man,IMN,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
India,IND,High-technology exports (current US$),,,,,,,,,,11215083873.0,10659474981.0,14503888164.0,13873821378.0,17938424107.0,18326340971.0,14583513323.0,14261348931.0,15101761889.0,20182210999.0,23470537791.0,21583196861.0,27446653652.0
Not classified,INX,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,High-technology exports (current US$),,,,,,,,31642320956.0,31031271915.0,26461543983.0,23343995291.0,27780064281.0,26187424563.0,25028664432.0,25855875339.0,30615408083.0,37981802255.0,34818210485.0,36483769523.0,39354584461.0,42490854407.0,
Iraq,IRQ,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,High-technology exports (current US$),,,,,,,,774999876.0,417158535.0,246422112.0,142432247.0,157704168.0,111298114.0,94978256.0,119694465.0,111536291.0,136816467.0,167559775.0,143430806.0,305002018.0,144572358.0,239162345.0
Israel,ISR,High-technology exports (current US$),,,,,,,,3121661000.0,9659048000.0,10540232000.0,10584454000.0,11680967000.0,11564735000.0,11743767000.0,12408262000.0,13753939000.0,12189271000.0,12056944000.0,12968602000.0,12563738000.0,12960522000.0,16089827000.0
Italy,ITA,High-technology exports (current US$),,,,,,,,27766083022.0,29472787416.0,25662486010.0,29262023094.0,33747082856.0,29546747419.0,31874951728.0,32860989418.0,30088406455.0,31085832014.0,31878137337.0,32487105732.0,32548431190.0,32892825253.0,38884110831.0
Jamaica,JAM,High-technology exports (current US$),,,,,,,,,6447307.0,4303754.0,2935421.0,4141872.0,4638187.0,4359115.0,3313970.0,552512.0,2140177.0,2485946.0,4123124.0,2128180.0,1135178.0,
Jordan,JOR,High-technology exports (current US$),,,,,,,,38758059.0,42631516.0,50931447.0,122345003.0,117330937.0,107823093.0,81697864.0,93168509.0,121229996.0,149415962.0,83323209.0,74306905.0,71400167.0,78697321.0,
Japan,JPN,High-technology exports (current US$),,,,,,,,128315042350.0,130246559587.0,103707828342.0,129808093675.0,133086554903.0,129203438507.0,111060297529.0,107367024290.0,98249840020.0,99101202201.0,106183786017.0,110741507162.0,103896710397.0,102751095238.0,116513861428.0
Kazakhstan,KAZ,High-technology exports (current US$),,,,,,,,,,1812355113.0,2364743746.0,2599142044.0,3570817080.0,3110998328.0,3394068217.0,2855226726.0,2073669213.0,1785382622.0,1762271324.0,2247383121.0,2492254484.0,
Kenya,KEN,High-technology exports (current US$),,,,,,,,,80113876.0,98505674.0,117835302.0,,,78074332.0,,81208729.0,136063971.0,48617467.0,54893806.0,82475865.0,85950665.0,57055936.0
Cambodia,KHM,High-technology exports (current US$),,,,,,,,1604572.0,3806890.0,9960158.0,8239391.0,7198370.0,13857078.0,73018958.0,31192963.0,121425753.0,171116017.0,177204847.0,164816028.0,160372355.0,308424330.0,
Kiribati,KIR,High-technology exports (current US$),,,,,,,,,,,,,,,38745.0,23849.0,42924.0,59185.0,57241.0,,83778.0,
St. Kitts and Nevis,KNA,High-technology exports (current US$),,,,,,,,,,7420.0,302278.0,34590.0,12585339.0,10761053.0,7944481.0,4863483.0,5702669.0,6842005.0,,,,
Kuwait,KWT,High-technology exports (current US$),,,,,,,,,,,127947715.0,131438845.0,,97593423.0,5504360.0,4070223.0,3788705.0,5445869.0,231333593.0,26496306.0,30598853.0,
Latin America & Caribbean (excluding high income),LAC,High-technology exports (current US$),,,,,,,,,,52043906728.0,63449903095.0,67343347377.0,72988082047.0,74273300976.0,76107717093.0,73916648339.0,77020880461.0,85065590576.0,89662229489.0,88282363655.0,80554265566.0,83979373891.0
Lao PDR,LAO,High-technology exports (current US$),,,,,,,,,,,19433467.0,21093610.0,11789240.0,45042419.0,153548987.0,298095207.0,275176770.0,389702557.0,467981187.0,229427361.0,235751311.0,
Lebanon,LBN,High-technology exports (current US$),,,,,,,,51307620.0,77054017.0,161872923.0,605177104.0,61167595.0,44875794.0,49876814.0,46480137.0,37644901.0,38914218.0,272165507.0,39529297.0,65234788.0,76215324.0,43838265.0
Liberia,LBR,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,High-technology exports (current US$),,,,,,,,,,,,,1513358.0,2882323.0,2100682.0,2083156.0,4560982.0,3921940.0,9939616.0,5341649.0,,
Latin America & Caribbean,LCN,High-technology exports (current US$),,,,,,,,,,,,,75783963486.0,,,,77913934202.0,85868019978.0,90464511455.0,,,
Least developed countries: UN classification,LDC,High-technology exports (current US$),,,,,,,,,,,,,,,,884546588.0,1208122502.0,,,,,
Low income,LIC,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,High-technology exports (current US$),,,,,,,,,103072546.0,46943091.0,62430399.0,71718328.0,60090697.0,72418950.0,71136519.0,63227843.0,67493898.0,79026660.0,,90992777.0,83149831.0,94325867.0
Lower middle income,LMC,High-technology exports (current US$),,,,,,,,,,,,,,,66178148724.0,73523283320.0,79898926774.0,134373296681.0,148539135581.0,161381072351.0,,
Low & middle income,LMY,High-technology exports (current US$),,,,,,,,,,,,,,,929153036756.0,926523769837.0,875694335388.0,1013368601742.0,1126186080270.0,1115145882276.0,,
Lesotho,LSO,High-technology exports (current US$),,,,,,,,,,,,,,,,682349.0,827952.0,1254082.0,4393509.0,1504622.0,958397.0,
Late-demographic dividend,LTE,High-technology exports (current US$),,,,,,,,,,509891136442.0,649291306818.0,729420980386.0,796512589453.0,875644970990.0,889634828584.0,895274443553.0,852231515445.0,946783354248.0,1056309432411.0,1039582249317.0,1101059591938.0,
Lithuania,LTU,High-technology exports (current US$),,,,,,,,1262472336.0,1546869572.0,961276196.0,1263157746.0,1582034683.0,1712052546.0,1906924576.0,2092843539.0,1919840823.0,1962841077.0,2317431157.0,2515950503.0,2526907344.0,2619106962.0,3106957909.0
Luxembourg,LUX,High-technology exports (current US$),,,,,,,,1411406488.0,1146674842.0,1044151986.0,962856322.0,1135855702.0,925028687.0,743237305.0,679502827.0,702202228.0,811594532.0,622261378.0,858269336.0,790975094.0,618349395.0,806609802.0
Latvia,LVA,High-technology exports (current US$),,,,,,,,356719941.0,430105243.0,375922453.0,430707601.0,633815822.0,777098337.0,1082132639.0,1329488659.0,1291458341.0,1203259954.0,1413241019.0,1879352694.0,1469863747.0,1837827445.0,1944253488.0
"Macao SAR, China",MAC,High-technology exports (current US$),,,,,,,,,,,,,,,38294.0,,,4766535.0,,,,
St. Martin (French part),MAF,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,High-technology exports (current US$),,,,,,,,,,,,,,,,564392267.0,602597557.0,691266546.0,837114354.0,1017946700.0,850002467.0,
Monaco,MCO,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,High-technology exports (current US$),,,,,,,,7358033.0,7433359.0,9753614.0,5515413.0,52264342.0,2053172.0,2591337.0,4418113.0,1571831.0,5124794.0,3682718.0,2999283.0,2679402.0,4736757.0,
Maldives,MDV,High-technology exports (current US$),,,,,,,,,,,,,,,,,120.0,708.0,,,,10421.0
Middle East & North Africa,MEA,High-technology exports (current US$),,,,,,,,,,12852878500.0,,15404274612.0,14852283944.0,15009563989.0,16753854707.0,17743458370.0,15729286900.0,15829252888.0,17235779855.0,16868692075.0,,
